slug_evento,file,criterio_editoriale
presentazione-acque-vive-cristina-noacco-2026,acque-vive.jpg,evento esatto / locandina ufficiale
festeggiamenti-primo-maggio-porteal-2026,lauco-territorio.jpg,territorio reale di Lauco; nessuna foto libera dell'evento reperita
autoemoteca-maggio-2026,autoemoteca.jpg,soggetto esatto: unità mobile per donazione sangue
teatro-friulano-teatri-di-pais-2026,teatro.jpg,soggetto esatto: palcoscenico teatrale
vertical-race-cronoradime-2026,cronoradima.jpg,evento esatto / locandina già presente nel progetto
pentecoste-40-ore-comunioni-2026,lauco-panorama.jpg,luogo esatto: Lauco con chiesa
festa-croce-monte-arvenis-2026,monte-arvenis.jpg,luogo esatto: Monte Arvenis
apertura-chiosco-vinaio-giugno-2026,lauco-territorio.jpg,territorio reale comunale; nessuna foto libera esatta del chiosco reperita
festa-degli-alberi-lauco-rosegg-2026,rosegg-gemellaggio.jpg,relazione esatta Lauco–Rosegg
sant-antonio-avaglio-2026,avaglio.jpg,luogo esatto: chiesa di Avaglio
san-luigi-trava-2026,trava-santuario.jpg,luogo esatto: Trava
gemellaggio-vinaio-runchia-2026,lauco-territorio.jpg,territorio reale comunale; nessuna foto libera esatta del gemellaggio reperita
escursione-solstizio-estate-museo-2026,lauco-territorio.jpg,territorio reale di svolgimento
apertura-chiosco-piattaforma-panoramica-2026,piattaforma-panoramica.jpg,luogo esatto: piattaforma panoramica
trava-open-2026,trava-santuario.jpg,località esatta: Trava
san-giovanni-buttea-2026,lauco-territorio.jpg,territorio reale comunale; nessuna foto libera esatta della chiesa di Buttea reperita
evento-chiosco-vinaio-5-luglio-2026,lauco-territorio.jpg,territorio reale comunale; nessuna foto libera esatta del chiosco reperita
escursione-celtic-fest-museo-2026,tombe-curs.jpg,luogo/soggetto locale pertinente: area archeologica di Curs
celtic-fest-lauco-2026,tombe-curs.jpg,luogo esatto/contesto: località Curs e tombe rupestri
eventi-chiosco-vinaio-12-luglio-2026,lauco-territorio.jpg,territorio reale comunale; nessuna foto libera esatta del chiosco reperita
raduno-provinciale-alpini-2026,alpini-adunata.jpg,soggetto esatto: adunata/sfilata Alpini
concerto-coro-polifonico-piattaforma-2026,piattaforma-panoramica.jpg,luogo esatto: piattaforma panoramica
maina-dal-cret-2026,maina.jpg,evento esatto / locandina già presente nel progetto
escursione-santuario-trava-agosto-2026,trava-santuario.jpg,luogo esatto: santuario/Trava
la-pelle-della-terra-trava-2026,trava-santuario.jpg,località esatta: Trava
sagra-paesana-trava-2026,trava-santuario.jpg,località esatta: Trava
apertura-chiosco-vinaio-ferragosto-2026,lauco-territorio.jpg,territorio reale comunale; nessuna foto libera esatta del chiosco reperita
san-rocco-2026,lauco-panorama.jpg,luogo esatto: Lauco e contesto religioso
rally-valli-della-carnia-lauco-2026,rally.jpg,soggetto esatto: rally su strada di montagna
sagra-paesana-allegnidis-2026,lauco-territorio.jpg,territorio reale comunale; nessuna foto libera esatta della sagra reperita
madonna-delle-grazie-allegnidis-2026,lauco-territorio.jpg,territorio reale comunale; nessuna foto libera esatta della chiesa reperita
madonna-cintura-vinaio-2026,lauco-territorio.jpg,territorio reale comunale; nessuna foto libera esatta della celebrazione reperita
escursione-santuario-trava-settembre-2026,trava-santuario.jpg,luogo esatto: santuario/Trava
foliage-autunno-lauco-2026,lauco-foliage.jpg,territorio locale in veste autunnale
autoemoteca-ottobre-2026,autoemoteca.jpg,soggetto esatto: unità mobile per donazione sangue
las-cidules-buttea-2026,cidules.jpg,soggetto esatto/rito analogo dei dischi infuocati
las-cidules-uerpa-2026,cidules.jpg,soggetto esatto/rito analogo dei dischi infuocati
unita-nazionale-costituzione-buttea-2026,alpini-adunata.jpg,soggetto pertinente: Alpini e cerimonia pubblica
corona-avvento-rosegg-2026,rosegg-gemellaggio.jpg,relazione esatta Lauco–Rosegg
giro-degli-auguri-12-13-dicembre-2026,lauco-inverno.jpg,territorio locale invernale
concerto-santa-lucia-polifonico-2026,coro.jpg,soggetto esatto: coro
giro-degli-auguri-19-20-dicembre-2026,lauco-inverno.jpg,territorio locale invernale
las-cidules-avaglio-2026,cidules.jpg,soggetto esatto/rito analogo dei dischi infuocati
fiaccolata-dei-madins-2026,fiaccolata.jpg,soggetto esatto: fiaccolata
brindisi-inizio-anno-lauco-2027,lauco-inverno.jpg,territorio locale invernale
